T,E,M,C,chi
1.0,-3211.409862873247,0.9992698602873784,39.708614168688655,1.037927123248572e-6
1.02,-3210.691614369499,0.9991571573361825,45.997975195404635,1.2152939385771264e-6
1.04,-3210.0159537805594,0.9990432811604075,49.40468383113958,1.3644950016032342e-6
1.06,-3208.626977394539,0.9988252878095821,54.924199994203875,1.5287161327171842e-6
1.08,-3207.5473344628895,0.9986427046043285,62.515991564267736,1.8093381518344583e-6
1.1,-3205.696715270975,0.9983285302608657,73.07325558475226,2.282433395819148e-6
1.12,-3204.5646355008657,0.9981608564810089,71.89191753111247,2.206742309024401e-6
1.14,-3171.001490667726,-0.9978988443061233,81.30675735838985,2.5487870055259285e-6
1.16,-3201.582369126628,0.9976550353299871,87.32563698765082,2.882502464591993e-6
1.18,-3200.431556747204,0.9974795960942758,91.70552796992685,3.0101683560081315e-6
1.2,-3198.041755218908,0.9970654082592508,112.14375985631098,4.006512421087886e-6
1.22,-3196.086461700396,0.9967472910692105,122.29828705480065,4.325450785525406e-6
1.24,-3193.2841607894243,0.9962775733801483,125.15909310442886,4.52939247246535e-6
1.26,-3190.670259866627,0.9958556060355584,131.23716748396762,4.854573305691624e-6
1.28,-3187.357385976505,0.9952646745722777,164.74259583901585,6.238552766046901e-6
1.3,-3184.8627152268364,0.9948616375758325,172.34401161942253,6.675295401223571e-6
1.32,-3182.195720493126,0.9943945723945148,174.37500837797774,7.097878218593487e-6
1.34,-3177.8469558246966,0.9936785956991062,188.62133481788538,7.607997240657238e-6
1.36,-3174.796716703413,0.9931372597804454,188.98925380450976,7.960506699655756e-6
1.38,-3171.147342940921,0.9924994623154435,214.5989841993408,9.403975063877082e-6
1.4,-3166.4777443773573,0.9916898223236216,230.1464252696582,1.0216212769563273e-5
1.42,-3159.9792392674262,0.9905616081359117,244.93254916814496,1.1214584716110821e-5
1.44,-3155.9932287181928,0.989887750411097,257.2739731822591,1.2022762493824674e-5
1.46,-3116.2373664554107,-0.9882224757557877,289.15431652725624,1.629095727876106e-5
1.48,-3144.5834015725845,0.9878028225888725,322.26002693922555,1.703695063329761e-5
1.5,-3136.554110633295,0.986296102937288,329.23590620275996,1.7600933150581827e-5
1.52,-3097.0638019555417,-0.9848348631751557,330.95189078209194,1.8526419462354904e-5
1.54,-3089.565693888961,-0.9834265257436912,390.6308006937258,2.3124579798719043e-5
1.56,-3084.865674942477,-0.9825349010889439,375.99204069620055,2.278407938747741e-5
1.58,-3111.499598975793,0.9816590342873063,393.053482903982,2.4127073129320126e-5
1.6,-3102.6983939627617,0.979852074806548,395.22529735331767,2.567885555859739e-5
1.62,-3058.0111241761024,-0.9774211857500789,420.5824432478962,2.8143387951166067e-5
1.64,-3085.8307507346303,0.9766770272009048,462.9189595701988,3.342418170652251e-5
1.66,-3078.407339801219,0.9753610590834648,444.3215942367185,2.9863676072144172e-5
1.68,-3067.9583512144977,0.9732471587561281,489.4123937732165,3.7413353743713584e-5
1.7,-3057.8697040975476,0.9714013303554736,492.26414770223073,3.621782910226249e-5
1.72,-3005.7573528389257,-0.9667127819226392,623.0969684131256,5.2798771776627e-5
1.74,-3033.559689310963,0.9661352275097949,548.8269866401967,4.5715980512922264e-5
1.76,-3021.457395653788,0.963798087113018,584.45096489589,4.9774619627036456e-5
1.78,-3006.155356071044,0.9601949405809118,633.437178499071,6.0399705516541566e-5
1.8,-2957.8407564602444,-0.9567035762217048,739.8850488407468,7.376286340781629e-5
1.82,-2979.1306532289464,0.9545532892761652,727.1761973701707,7.261829016374027e-5
1.84,-2925.7869572738186,-0.9490558280009043,751.4491458389325,8.464058292856347e-5
