T,E,M,C,chi
1.0,-3275.6614132993695,0.9993188202919756,35.33841171301901,8.940920940281316e-7
1.02,-3275.2317131243467,0.9992498353113323,37.508136839869046,9.821082242662841e-7
1.04,-3274.718584585149,0.9991703917674818,40.46427129048677,1.0682591251758128e-6
1.06,-3273.591203751249,0.9989885148913116,46.963225333991524,1.309150957765856e-6
1.08,-3272.44649858561,0.9988067400346697,55.68421841982307,1.5496823636058147e-6
1.1,-3271.00368556991,0.9985724235592652,58.88365486190338,1.6979298113970678e-6
1.12,-3270.273960327239,0.9984663237700084,65.42889663251117,1.8836342995297095e-6
1.14,-3267.9636912080473,0.9980780374440815,82.64791746570785,2.5351763328006037e-6
1.16,-3266.324265823683,0.9978112162976404,88.85303559556924,2.799082168442238e-6
1.18,-3265.6942208642995,0.9977015890270292,84.3008074503316,2.789717672029366e-6
1.2,-3263.5721713627563,0.9973662779028614,94.43021490393826,3.081078514266533e-6
1.22,-3260.9475046647312,0.9969514139282057,106.4992039628353,3.494995908346744e-6
1.24,-3258.193550283685,0.9964700472746001,115.91995438768234,4.124921534719117e-6
1.26,-3257.2382976312897,0.9963156219797534,117.90706154144875,4.16197647412983e-6
1.28,-3253.856834746201,0.9957581659345548,138.91077192283774,5.061356877968798e-6
1.3,-3251.812662580541,0.995434256533726,144.68323471542644,5.316412558904641e-6
1.32,-3247.9737607020948,0.9947823376921349,160.1899256078822,6.107749220778997e-6
1.34,-3244.6742249950516,0.9942104958523856,158.1916130442686,6.462367790479446e-6
1.36,-3239.45862824951,0.9933433256950548,194.00602301250765,7.968194750342023e-6
1.38,-3237.6798750031076,0.9930549347054195,185.6267025848396,7.733266448221082e-6
1.4,-3233.3975661054583,0.9923371487249015,215.48175018052672,9.047789546705915e-6
1.42,-3226.9199817530093,0.9911758265976153,231.17397231783477,1.019454392531026e-5
1.44,-3223.5140868147996,0.9906126782791262,250.42760346866686,1.1661118717171126e-5
1.46,-3217.7739181036486,0.9896088222532491,281.10325592312233,1.2949737258011411e-5
1.48,-3212.189825321667,0.9886395097274581,281.6444442714949,1.359593391436164e-5
1.5,-3208.3611445507786,0.987978357077511,289.57494440012505,1.4120955074359287e-5
1.52,-3201.8443112869118,0.9868081014748693,319.6111314088671,1.6007340166610423e-5
1.54,-3194.3936387283734,0.985466015837595,307.2850797587695,1.620145803071793e-5
1.56,-3190.615983295385,0.9847454284841023,350.02125005245716,1.9071239645840343e-5
1.58,-3180.708726667122,0.9829359835786036,358.881222709722,2.0604501333039794e-5
1.6,-3172.0175692201874,0.9812651155464853,425.53111699380673,2.5591326640803103e-5
1.62,-3164.4822651749155,0.9799706948904039,416.66584067964186,2.4943778392108834e-5
1.64,-3158.26420992531,0.9787335837045247,424.4502310596511,2.610981092253959e-5
1.66,-3150.1983775563017,0.9773549225047168,444.8181162818797,2.802142442445933e-5
1.68,-3138.4007023106915,0.9748172549168207,503.76591063381755,3.5665401210865656e-5
1.7,-3128.2043386614528,0.9730673623496304,509.0317178775386,3.548793519982026e-5
1.72,-3118.1458457855524,0.9711156834829551,503.93445497686463,3.510282006574274e-5
1.74,-3106.044174913864,0.9685419457455983,584.6429183096784,4.5969205014506754e-5
1.76,-3093.415655417114,0.9662330866195766,558.370653985353,4.4330148474963644e-5
1.78,-3083.531710792479,0.9641753168122769,607.243250584468,4.903309918634374e-5
1.8,-3075.873870258575,0.9628055916903637,604.2411538674553,4.842459363367062e-5
1.82,-3057.2534704752784,0.9587284712769224,647.6938869749484,5.6389549399318863e-5
1.84,-3046.9289698400444,0.9565419502219654,677.9163825294418,6.153869800153687e-5
1.86,-3034.467936927707,0.9538225520205904,685.4422999724034,6.656373253926318e-5
1.88,-3016.8992027069053,0.9502625659951837,714.9167862017132,6.904094649607549e-5
1.9,-3000.716493684509,0.9467678771526642,823.1348276205382,8.64798142194861e-5
1.92,-2976.395027693036,0.9408372898866167,848.9918196452587,9.606285331151035e-5
1.94,-2966.979371359762,0.9387289204751529,970.7176372737885,0.00011648851690402468
1.96,-2950.273436529839,0.9347356096249805,898.2684190285356,0.00010793759738440965
1.98,-2933.656710532222,0.9319415024186957,909.741863848484,0.00010358426507869301
2.0,-2906.688294112665,0.9235543780743792,1073.091081308201,0.0001672190592617584
2.02,-2887.6589631234137,0.9203800852050448,994.2172135615081,0.00013814418753344213
2.04,-2869.900118509149,0.9151864422500761,1169.4061743521254,0.00017103406120609702
2.06,-2850.937600567254,0.9102951586320387,1286.1062893609298,0.00025351787202040655
2.08,-2829.061910696621,0.9043706186256013,1094.5846441196009,0.00022334159277996696
2.1,-2798.0344634875673,0.8948486285244105,1208.1430686711674,0.0003295853010892593
2.12,-2764.8424222600115,0.8866388869919272,1294.9286355459965,0.0003167559205683792
2.14,-2740.859125938258,0.8787534952098708,1415.2446830331942,0.0003251135099523015
2.16,-2719.3201992003537,0.8733363722313668,1277.1685117768955,0.0003097649853189523
2.18,-2690.802724087915,0.863368309548903,1515.511302979602,0.0004685654626426146
2.2,-2656.4372365865547,0.8534487810956565,1572.2777639086596,0.00044147864486093253
2.22,-2645.9412302555124,0.8521828764593478,1279.6623105682954,0.00035124993930357425
2.24,-2610.2662098412043,0.8428931801402539,1459.8483242411464,0.00040352424295277925
2.26,-2563.698358734747,0.8231052589609582,1763.3368832721324,0.0007787639771023773
2.28,-2528.2991808455913,0.8071364070845691,1740.0683142803712,0.0008014892126898329
2.3,-2507.8318404613838,0.804816199847512,1753.4843907511965,0.0006823115377026054
2.32,-2453.8024366426907,0.7801640172125683,1689.329135206273,0.0007577142076070248
2.34,-2419.4320217646714,0.7726127102383051,1885.1441246618913,0.0010094092246195866
2.36,-2389.3655698664606,0.7574041682680958,2062.802821578809,0.0011994529712539945
2.38,-2340.9278883081374,0.7406665909154316,2100.510995934505,0.0011197565080440096
2.4,-2301.6186967233803,0.7189966910278197,1890.4606766009238,0.0011740738155281243
2.42,-2256.4883873460285,0.6974150474016042,1795.6418417548482,0.0012556376583757864
2.44,-2241.507829394984,0.6942823561181111,2014.628406201559,0.0015695802824500637
2.46,-2136.5167379067884,0.6366938354387527,2144.115942718735,0.0017665513059101795
2.48,-2147.606641096504,0.6577182156076553,2141.4783043981856,0.00166986331588643
2.5,-2098.595529629132,0.6135328644460277,2203.9232150776684,0.0023324287660644537
2.52,-2037.3430089347846,0.5840108191710102,2032.2150681785113,0.002696499219242579
2.54,-1989.7019132200712,0.5549855605931457,1858.4966877770676,0.0022979334159149347
2.56,-1926.7388974228604,0.5073118900429356,1816.8455258069116,0.0030879420927249586
2.58,-1916.6038915661115,0.5151621537946477,2203.340845463667,0.0035114986124819784
2.6,-1862.9154078636361,0.48179777407962776,1860.0018917604282,0.002194970319188448
2.62,-1810.119101220422,0.44522065418669404,2031.1625426283124,0.004346994450630837
2.64,-1811.7713239760994,0.45958089492779725,1932.367735049449,0.003217414126322127
2.66,-1759.7953832207174,0.40256333747102335,1862.9264510531123,0.00409051357767276
2.68,-1717.5858047112786,0.3832799549115324,1494.3097094162454,0.003113226956800219
2.7,-1696.4659465059383,0.36699022298970524,1700.7629504564645,0.004491292832288465
2.72,-1661.7675702820568,0.34593671728639713,1509.8450362431356,0.003878846097375281
2.74,-1649.3845993401476,0.35772544285844565,1572.488652400704,0.0034352536773012863
2.76,-1631.6527947312768,0.34654583841522446,1344.0692193660661,0.0025689171330267797
2.78,-1575.4248711118405,0.29011313861622373,1465.1404949118216,0.0036158767646259425
2.8,-1544.8494446181646,0.27462748349886174,1155.5897145665715,0.0032429786131139937
2.82,-1528.2911392499814,0.27181195843766043,926.5048510238788,0.0023472049256592453
2.84,-1514.2018780754086,0.266540324155601,1157.3945559438325,0.002902493893174393
2.86,-1485.436670732164,0.2450424245086719,1086.5401291075566,0.002562644067667924
2.88,-1464.6170482543935,0.24676170236864364,1035.208793320388,0.0026173122552099323
2.9,-1449.1880134965397,0.2203313448547388,962.7180901067564,0.002786421436134496
2.92,-1437.7456057273987,0.22939329350685259,889.0195104310205,0.0018338181138801894
2.94,-1409.276261138332,0.2083067548170915,900.2392964235988,0.0025528352949374896
2.96,-1399.7859127687154,0.20472434375417706,877.2182623960886,0.002424018631568072
2.98,-1381.290968065378,0.1882151470059767,862.561891062222,0.002340995971656252
3.0,-1358.1344558673868,0.17852950040412224,827.3428047338707,0.0021184191359347087
3.02,-1353.376414167615,0.19801282614498183,764.5371523604981,0.0019410565007229805
3.04,-1330.8359295290584,0.18163283921180962,754.9376952812706,0.0019532723844027104
3.06,-1312.5867905114326,0.16664064474676463,716.4388782497741,0.0020536691664235804
3.08,-1292.2248469602816,0.15059922002947324,662.8057675782626,0.0018420972008653487
3.1,-1286.6340440832473,0.15940769699866875,611.4342153604402,0.0015996041378037453
3.12,-1271.2940092050692,0.14351290297193298,644.9221725425122,0.0015718844942700654
3.14,-1261.1162644112908,0.13639254210179383,633.652415480616,0.0016263406014143146
3.16,-1239.8067631035497,0.12822541714536034,606.9430847497023,0.0017418297274301518
3.18,-1233.1851255527417,0.12525662179611832,578.0326538143961,0.0016050265277599944
3.2,-1217.7392164316884,0.12075163616421562,595.3373187395072,0.0016309811220681092
3.22,-1212.0810936992914,0.136814239302836,604.1322077320376,0.0016058381362506712
3.24,-1198.8249991567445,0.12482604785507063,599.4831244930243,0.001687869714033333
3.26,-1186.0354925939494,0.10735072304779388,477.7790910112162,0.0013259169562147655
3.28,-1180.5541192362264,0.11910543603771141,522.0099231505637,0.0013350668880269877
3.3,-1172.5420142651506,0.1258002797000709,525.6258035200299,0.0012847086945234267
3.32,-1156.3599536705738,0.10620783158116527,546.9213786074154,0.0014745853134225106
3.34,-1147.7926750810025,0.10310818629682018,534.5293841992592,0.001300293874158713
3.36,-1137.5314664036264,0.09952472484916726,481.30610234332545,0.001181088284777331
3.38,-1129.095762358407,0.10948520529452206,469.3157281201893,0.0011668873467300719
3.4,-1114.6861971323394,0.10299240506250049,472.2327042072746,0.0010631293309202358
3.42,-1109.591179641218,0.10772610286233485,438.351888800146,0.001018042141331994
3.44,-1093.1897788505355,0.081832482580686,447.8606288538061,0.001251361835051099
3.46,-1085.129131863575,0.087462295976558,430.67229215091237,0.0011137579440958839
3.48,-1076.522725994787,0.07502744637624552,423.7399401082071,0.0009684561237275571
3.5,-1071.5930500129725,0.08760965121396994,426.18086879462834,0.0009204856340971693
