T,E,M,C,chi
1.0,-3259.7776515270507,0.9993337364839737,36.818572990596294,9.50882061534486e-7
1.02,-3259.357941853808,0.9992686391760818,35.6780077584635,9.341470489300426e-7
1.04,-3258.264346006883,0.999094662567286,43.913166480588025,1.1736142928213505e-6
1.06,-3257.1626352351577,0.998915454855109,51.043059217026425,1.4066473012591567e-6
1.08,-3256.4603492898286,0.9988073688080911,53.99544359873392,1.5049546737412034e-6
1.1,-3254.6488473999684,0.9985169540841331,65.40180049713484,1.8770937042096718e-6
1.12,-3253.5061569242994,0.9983268365284875,68.70945014103496,2.0632665254887476e-6
1.14,-3123.0862155627387,-0.9978818861620292,77.96878200230755,2.5355340088726e-6
1.16,-3250.594965332038,0.9978622994535499,81.56009560631419,2.527299353606332e-6
1.18,-3249.0552272099344,0.9975922168052395,96.35553727768142,3.1505613554938906e-6
1.2,-3246.7974319393875,0.9972309739825216,101.47054001766567,3.3855743789001913e-6
1.22,-3244.5976118435374,0.9968616596453632,114.83380991116556,4.006624635982215e-6
1.24,-3243.155385069534,0.9966265655313071,114.41840858777266,3.960011017040312e-6
1.26,-3240.4513518836134,0.9961976775150206,123.0278056542912,4.3443648232624695e-6
1.28,-3107.119159192577,-0.9951929548436581,157.04908376505955,6.273738215566149e-6
1.3,-3234.5593107310265,0.9951679132134442,153.03058711227754,5.9155404214400035e-6
1.32,-3231.5319130493253,0.9946847091673081,159.93346645209434,6.210042677480837e-6
1.34,-3227.8344022008996,0.9940735289096277,176.1670527790106,6.985814248465484e-6
1.36,-3224.4691198712235,0.9934973991266294,197.26079165879923,8.059810594338187e-6
1.38,-3220.116296133072,0.9927305183299943,209.4534777816502,8.882087425940796e-6
1.4,-3215.5381263967256,0.9919841413765806,219.0065046401733,9.413886961232418e-6
1.42,-3211.167975861704,0.9912273173111316,235.45492789638797,1.0338781911810137e-5
1.44,-3206.0221962846736,0.9902879907191375,232.49288122899068,1.065636997532593e-5
1.46,-3202.1088076165147,0.9895857033788451,258.6022401370107,1.244066603143793e-5
1.48,-3193.7709697392847,0.9881318860579281,268.7935199946712,1.320057207792407e-5
1.5,-3190.6721407985474,0.9876341452699792,284.52065657162,1.3960948479052604e-5
1.52,-3182.546283245301,0.9861303524337487,304.79270019671696,1.5739417278860584e-5
1.54,-3178.2828798821474,0.9854346193276621,315.98643697283035,1.6371531981383783e-5
1.56,-3171.8957522315727,0.9843013083275834,357.8893914035007,1.925455645500874e-5
1.58,-3165.091718520979,0.9829352241577247,369.55698123782213,2.129683924648079e-5
1.6,-3157.5372571070616,0.9815532327490183,385.05028253057384,2.2174167109492715e-5
1.62,-3149.0082866340163,0.980036556824253,454.1127992368924,2.7330007009005478e-5
1.64,-3138.9697154237465,0.9781542783034444,443.1410537788048,2.7066113455974675e-5
1.66,-3131.0208699974996,0.976618752709243,446.11192385424494,2.9198386803154462e-5
1.68,-3118.3355907492323,0.9741691467128267,480.6736726781075,3.242959694929207e-5
1.7,-3111.3934302920825,0.9727291015077654,528.7936279653318,3.6894870636732376e-5
1.72,-3104.36257850397,0.971361378779355,504.3691450475855,3.635276728279076e-5
1.74,-3086.95661171903,0.9679031338108958,574.7058792050826,4.407456288052055e-5
1.76,-3075.194271849094,0.9654014239427757,616.2839055871679,4.9917038903787096e-5
1.78,-3065.041908906085,0.9635991021865076,579.4992350609054,4.622493867809638e-5
1.8,-3054.3917636510946,0.9611512940240292,618.7026631960898,5.207566581702208e-5
1.82,-3034.756296666072,0.9569041221511045,679.212928702498,6.406457099713095e-5
1.84,-3023.7756046738577,0.9545847211806281,662.9781447902686,6.322199437079803e-5
1.86,-3014.4382698986406,0.9528919595494653,802.0170891417561,8.045251961171891e-5
1.88,-2998.766727275928,0.9496006763061935,713.6153417920644,7.356189575742545e-5
1.9,-2982.5414299139816,0.9459365626955809,760.6497888316574,7.9180706746606e-5
