epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.234375,2.2940187454223633,,
0,99,0.171875,2.2600669860839844,,
0,149,0.421875,2.1494507789611816,,
0,199,0.609375,1.8013794422149658,,
0,249,0.78125,0.9851862788200378,,
0,299,0.78125,0.7165064215660095,,
0,349,0.8125,0.5380221009254456,,
0,399,0.828125,0.4454314708709717,,
0,449,0.875,0.3777614235877991,,
0,499,0.90625,0.27758514881134033,,
0,549,0.890625,0.39199116826057434,,
0,599,0.90625,0.2579217553138733,,
0,649,0.921875,0.23428145051002502,,
0,699,0.890625,0.33549046516418457,,
0,749,0.984375,0.19894246757030487,,
0,799,0.9375,0.16745620965957642,,
0,849,0.90625,0.24905388057231903,,
0,899,0.953125,0.12258812040090561,,
0,936,,,0.95703125,0.13449692726135254
1,949,0.953125,0.14833301305770874,,
1,999,0.96875,0.0687786191701889,,
1,1049,0.96875,0.08934030681848526,,
1,1099,0.984375,0.06713111698627472,,
1,1149,0.984375,0.0540793314576149,,
1,1199,0.90625,0.2702813148498535,,
1,1249,0.96875,0.10584850609302521,,
1,1299,0.9375,0.22819341719150543,,
1,1349,0.953125,0.08428393304347992,,
1,1399,0.953125,0.10040723532438278,,
1,1449,0.984375,0.054933469742536545,,
1,1499,0.953125,0.10771846771240234,,
1,1549,0.953125,0.10202328860759735,,
1,1599,0.96875,0.22112253308296204,,
1,1649,0.921875,0.20080143213272095,,
1,1699,1.0,0.02704860456287861,,
1,1749,0.984375,0.043039772659540176,,
1,1799,0.984375,0.06684620678424835,,
1,1849,1.0,0.02596934512257576,,
1,1873,,,0.9751602411270142,0.07597025483846664
2,1899,0.984375,0.03963559865951538,,
2,1949,0.984375,0.025281529873609543,,
2,1999,0.984375,0.15331611037254333,,
2,2049,0.984375,0.06525687873363495,,
2,2099,0.96875,0.10590621083974838,,
2,2149,0.9375,0.16612769663333893,,
2,2199,0.96875,0.0651797205209732,,
2,2249,0.984375,0.09613007307052612,,
2,2299,0.9375,0.09674600511789322,,
2,2349,1.0,0.022501567378640175,,
2,2399,0.984375,0.031899865716695786,,
2,2449,0.96875,0.05392787232995033,,
2,2499,0.921875,0.17697928845882416,,
2,2549,0.984375,0.07829108834266663,,
2,2599,0.984375,0.041561052203178406,,
2,2649,0.9375,0.20799055695533752,,
2,2699,1.0,0.03832509368658066,,
2,2749,1.0,0.024203307926654816,,
2,2799,0.96875,0.08040016144514084,,
2,2810,,,0.9814703464508057,0.05696634203195572
3,2849,0.984375,0.08594094961881638,,
3,2899,0.984375,0.058057643473148346,,
3,2949,0.96875,0.06110385060310364,,
3,2999,0.984375,0.06778980046510696,,
3,3049,1.0,0.015871036797761917,,
3,3099,0.984375,0.04316609352827072,,
3,3149,0.984375,0.03140375763177872,,
3,3199,1.0,0.014658378437161446,,
3,3249,0.96875,0.09619231522083282,,
3,3299,0.96875,0.10021517425775528,,
3,3349,1.0,0.03375176340341568,,
3,3399,0.984375,0.04772717505693436,,
3,3449,0.984375,0.04080170765519142,,
3,3499,1.0,0.04267694056034088,,
3,3549,0.9375,0.09697503596544266,,
3,3599,0.984375,0.04541672766208649,,
3,3649,0.984375,0.02898864820599556,,
3,3699,0.96875,0.11274255067110062,,
3,3747,,,0.9818710088729858,0.05176600441336632
4,3749,0.984375,0.05971728637814522,,
4,3799,1.0,0.02311982586979866,,
4,3849,0.984375,0.03614906594157219,,
4,3899,0.96875,0.08468082547187805,,
4,3949,0.984375,0.0321463979780674,,
4,3999,0.953125,0.07670064270496368,,
4,4049,1.0,0.030715415254235268,,
4,4099,0.984375,0.06023324280977249,,
4,4149,0.984375,0.02760622836649418,,
4,4199,1.0,0.00764823704957962,,
4,4249,0.984375,0.027368469163775444,,
4,4299,0.984375,0.0331072136759758,,
4,4349,0.984375,0.08797865360975266,,
4,4399,0.984375,0.020494071766734123,,
4,4449,0.984375,0.035361193120479584,,
4,4499,1.0,0.02402300015091896,,
4,4549,0.96875,0.08323061466217041,,
4,4599,1.0,0.022659029811620712,,
4,4649,0.96875,0.06776463240385056,,
4,4684,,,0.9806690812110901,0.057351358234882355
