epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.078125,2.3137927055358887,,
0,99,0.078125,2.319302558898926,,
0,149,0.109375,2.313502788543701,,
0,199,0.15625,2.2781176567077637,,
0,249,0.078125,2.3419580459594727,,
0,299,0.140625,2.2960152626037598,,
0,349,0.09375,2.30126690864563,,
0,399,0.140625,2.2993648052215576,,
0,449,0.15625,2.2930803298950195,,
0,499,0.171875,2.304779052734375,,
0,549,0.109375,2.3045785427093506,,
0,599,0.046875,2.313568592071533,,
0,649,0.15625,2.2716524600982666,,
0,699,0.03125,2.3084681034088135,,
0,749,0.109375,2.29791259765625,,
0,799,0.046875,2.31602144241333,,
0,849,0.03125,2.3228628635406494,,
0,899,0.125,2.313783645629883,,
0,936,,,0.11348157376050949,2.3044986724853516
1,949,0.109375,2.2909786701202393,,
1,999,0.125,2.2982075214385986,,
1,1049,0.15625,2.3018763065338135,,
1,1099,0.1875,2.2983903884887695,,
1,1149,0.109375,2.3052594661712646,,
1,1199,0.078125,2.306992292404175,,
1,1249,0.09375,2.301344156265259,,
1,1299,0.109375,2.286116600036621,,
1,1349,0.125,2.3015801906585693,,
1,1399,0.1875,2.274811029434204,,
1,1449,0.125,2.298729181289673,,
1,1499,0.09375,2.3080732822418213,,
1,1549,0.109375,2.297316551208496,,
1,1599,0.09375,2.3173017501831055,,
1,1649,0.109375,2.3097829818725586,,
1,1699,0.109375,2.308814525604248,,
1,1749,0.0625,2.3169138431549072,,
1,1799,0.140625,2.320650577545166,,
1,1849,0.15625,2.286339521408081,,
1,1873,,,0.08914262801408768,2.3051300048828125
2,1899,0.109375,2.291905641555786,,
2,1949,0.09375,2.301748037338257,,
2,1999,0.078125,2.310290813446045,,
2,2049,0.09375,2.303988218307495,,
2,2099,0.09375,2.302177667617798,,
2,2149,0.09375,2.310377597808838,,
2,2199,0.109375,2.3159677982330322,,
2,2249,0.109375,2.3062522411346436,,
2,2299,0.078125,2.3163933753967285,,
2,2349,0.203125,2.2891979217529297,,
2,2399,0.171875,2.323350429534912,,
2,2449,0.1875,2.2876791954040527,,
2,2499,0.109375,2.300034523010254,,
2,2549,0.078125,2.3129384517669678,,
2,2599,0.109375,2.2970454692840576,,
2,2649,0.09375,2.305094003677368,,
2,2699,0.125,2.298532724380493,,
2,2749,0.09375,2.301938056945801,,
2,2799,0.171875,2.2899346351623535,,
2,2810,,,0.09575320780277252,2.3028271198272705
3,2849,0.140625,2.2803494930267334,,
3,2899,0.109375,2.3040683269500732,,
3,2949,0.078125,2.3099918365478516,,
3,2999,0.15625,2.281972885131836,,
3,3049,0.03125,2.3069193363189697,,
3,3099,0.046875,2.313307523727417,,
3,3149,0.109375,2.297091484069824,,
3,3199,0.0625,2.2952494621276855,,
3,3249,0.078125,2.3038575649261475,,
3,3299,0.15625,2.2888753414154053,,
3,3349,0.171875,2.281001567840576,,
3,3399,0.171875,2.304124593734741,,
3,3449,0.109375,2.3214828968048096,,
3,3499,0.171875,2.292483329772949,,
3,3549,0.078125,2.3007876873016357,,
3,3599,0.0625,2.31559157371521,,
3,3649,0.140625,2.3077473640441895,,
3,3699,0.09375,2.3108110427856445,,
3,3747,,,0.10096153616905212,2.304816722869873
4,3749,0.03125,2.323366403579712,,
4,3799,0.140625,2.2942092418670654,,
4,3849,0.125,2.2917230129241943,,
4,3899,0.09375,2.299138069152832,,
4,3949,0.109375,2.3138620853424072,,
4,3999,0.0625,2.3265979290008545,,
4,4049,0.109375,2.297173023223877,,
4,4099,0.078125,2.3294949531555176,,
4,4149,0.015625,2.356325626373291,,
4,4199,0.09375,2.3125364780426025,,
4,4249,0.09375,2.3050377368927,,
4,4299,0.0625,2.323317766189575,,
4,4349,0.078125,2.3184571266174316,,
4,4399,0.046875,2.3131155967712402,,
4,4449,0.015625,2.321197748184204,,
4,4499,0.09375,2.2850115299224854,,
4,4549,0.0625,2.3067994117736816,,
4,4599,0.0625,2.3560357093811035,,
4,4649,0.046875,2.3057358264923096,,
4,4684,,,0.11348157376050949,2.303962469100952
