T,E,M,C
1.0,-1248.2956312080605,-0.9992977626221912,14.322814744431525
1.02,-1247.9406113518517,-0.99915984583616,16.992729565088222
1.04,-1247.6150568529747,0.9990276031654919,18.748678053459205
1.06,-1247.1626909875495,0.9988375663071712,21.54968471256217
1.08,-1246.5076544114436,-0.9985514784329305,24.20179199807273
1.1,-1246.3918164091413,0.9985088901928754,26.330909983077937
1.12,-1245.3786502889773,0.9980859658296426,32.19639933822505
1.14,-1245.0109616496682,0.9979313402222151,30.141500898931557
1.16,-1244.2944299313845,-0.9976352127420527,35.69840765367157
1.18,-1243.735146181953,0.9973979801938445,38.34323647394707
1.2,-1242.8445060228903,-0.9969933459069802,43.48153684954418
1.22,-1242.3208431087933,-0.9968034419558662,42.5885803470347
1.24,-1241.375732294215,0.9963689478498962,46.494736601437445
1.26,-1240.525684211199,0.9960279965623043,49.932572174692716
1.28,-1238.0425856841473,0.9949768948062894,64.54734880520618
1.3,-1237.3742370881394,0.9946574369995351,59.9860290394677
1.32,-1236.1382469241246,-0.9940662009944616,68.14831615139899
1.34,-1236.0053737961941,-0.9940781864982045,65.1291750309112
1.36,-1234.3461380765302,0.9932355207289454,70.2135124465146
1.38,-1232.0553673531765,-0.9923032823181239,82.9098912900675
1.4,-1229.765388961247,-0.9912765434754601,94.93342957053127
1.42,-1229.1569977028778,0.9910432845119447,90.82822722453602
1.44,-1226.3090731532768,0.9895693265502387,112.19280639978271
1.46,-1223.716935338727,-0.9884329767486941,106.85737783060969
1.48,-1221.40881852096,0.9875591289040165,118.44078833726677
1.5,-1218.8417243432116,-0.9860645907725343,125.50260822754353
1.52,-1217.1242778229202,-0.9854288308532159,124.95658352510816
1.54,-1215.0469765207918,-0.9844853566716121,138.54288538370636
1.56,-1210.8740011991467,0.9822685292134944,141.41565367196307
1.58,-1208.9338456508567,-0.9815978487775843,146.59299704798656
1.6,-1203.5879173717599,-0.9788439432971853,176.11564306253055
1.62,-1201.693755384712,0.9780634440218915,177.9073961967894
1.64,-1198.9235261730287,0.9767025423828091,165.5725458210832
1.66,-1196.2630902416504,0.9751835425095394,185.84378452619816
1.68,-1189.402117782622,-0.9716186270302162,202.98670458294495
1.7,-1185.802896908523,0.9695669146252239,216.56627358238708
1.72,-1181.837124774095,0.9676357660960956,221.9814243319388
1.74,-1178.673098324709,-0.9662933283351133,220.5700664067223
1.76,-1172.0566580866262,-0.9620140604749088,252.74841203204872
1.78,-1165.6326223294757,-0.9593028182078611,244.1195883468831
1.8,-1162.348123164938,-0.9575431710935344,280.48146240259405
1.82,-1158.0298913419688,0.9547578858808455,281.807425890455
1.84,-1152.2295652507291,0.951880046134136,268.5322870026912
1.86,-1143.7050972256686,0.9463167344869706,339.20881475096843
1.88,-1134.9936517639492,-0.940630585909919,327.26817007121826
1.9,-1130.9723908707233,0.9387779889478286,380.1321193809335
1.92,-1125.5951016026606,0.9352394913317451,375.84001712212336
1.94,-1115.668909830767,-0.9281315968779587,389.1967542891834
1.96,-1113.8455677895977,-0.9274260027412111,387.20344325259134
1.98,-1103.4101838017211,0.9212074108547275,433.66927556443306
2.0,-1089.7225562060105,0.9108864369686508,463.66446264239494
2.02,-1082.5058993547398,0.9070302570497795,427.5521895383375
2.04,-1071.5600750158947,0.8933128803909687,486.8234982488925
2.06,-1066.9410895196065,0.8952164830495387,464.461366482161
2.08,-1053.4925543210284,-0.8851228281972011,479.94310921256096
2.1,-1042.8352323373458,0.8741853386737606,560.9921614556043
2.12,-1025.4981389796178,0.859787446445744,585.3009601206621
