T,E,M,C
1.0,-2992.972107028063,-0.4170984761197268,140.35660221986473
1.02,-3194.7317665076966,-0.9991515473031239,42.71828315604975
1.04,-3193.700111721794,0.9989939312954687,51.61734084156479
1.06,-3193.021158017423,0.9988739240583283,52.67798122125997
1.08,-3192.007713509176,-0.9987153071141754,58.703466884814844
1.1,-2979.5377540962922,-0.006960755481675836,160.69276873484128
1.12,-3188.7514117212527,0.9981872706902888,75.8047433815331
1.14,-3187.217186251432,0.9979128818809567,81.71517542391678
1.16,-3185.172901447886,-0.9975914584253762,92.64250212281448
1.18,-3184.655012011238,0.9975177055932932,86.44215826157036
1.2,-3182.300268040696,-0.997117601658296,97.96025558607653
1.22,-3180.1844513077444,-0.9967745635958509,113.34799169654113
1.24,-3177.570182981394,0.9963187070294786,116.91013998696027
1.26,-3173.1747086509645,-0.9955786688200419,141.1122981384753
1.28,-3171.6377049187154,0.9953473686873332,144.0094215240606
1.3,-3168.8862540552764,0.9948490787636565,157.76157146044204
1.32,-3165.409090398047,-0.9942415649629127,156.64760837086823
1.34,-3161.373904070829,-0.9935437149516072,180.80301047546556
1.36,-3158.3416105177553,-0.993044443870729,210.65375550628303
1.38,-3153.2065703907683,-0.9920907845759795,228.1251437545396
1.4,-3148.699770685084,-0.9913104522962928,238.40414028880858
1.42,-3144.750978658764,0.9906820801865165,236.7583042889334
1.44,-3138.3534364549505,0.9894909282777731,262.7941123276366
1.46,-3133.3007714758396,-0.9886737856865352,270.6201451086592
1.48,-3128.0745350512034,-0.9876868742715494,287.06386442081237
1.5,-3124.4548055570244,0.9870002406828061,299.60287338743603
1.52,-3115.101332041919,-0.9852193284533298,337.58722149674753
1.54,-3106.592505270662,-0.983622251250364,366.4525116345036
1.56,-3100.292926798698,0.9826110727207692,395.27049077059985
1.58,-3093.314243050492,-0.9813054522983752,380.6947964752303
1.6,-3088.931527407234,-0.980467398826817,422.7186171745415
1.62,-3076.1364130183583,0.9778096355154549,470.1031241969075
1.64,-3066.73417000451,0.9761285676125058,478.20958980220087
1.66,-3055.012614194206,0.9735673283084205,514.7170502899843
1.68,-3047.636602274994,-0.9722630903547406,553.6147576594165
1.7,-3037.5378482041024,-0.9703843112078654,582.5518505312632
1.72,-3026.2495564232536,-0.9677851154340558,592.5935196119581
1.74,-3010.8238189365734,-0.9642936131402818,620.903670012632
1.76,-2999.804817070657,0.9623806522462409,633.7628562750454
1.78,-2986.1035577332677,0.9590071698908309,697.6445837206447
1.8,-2974.7112909800994,-0.9570624486519055,677.8515450345973
1.82,-2959.8422203446926,0.9529687162320566,714.0714541461568
1.84,-2945.638465276508,0.9505730436922576,803.7932042355097
1.86,-2930.17696349075,-0.9469239311164143,738.3497759484676
1.88,-2911.9868315690896,0.9422609994749117,902.9997237464738
1.9,-2889.413149526067,0.9363988959404973,903.8723576777819
1.92,-2874.9242861027333,-0.9335293020906509,958.0515155645722
1.94,-2863.849818925747,-0.9312619597076994,862.7372882796125
1.96,-2840.4905998373515,-0.9246472737258906,1007.2311225627666
1.98,-2816.0476135550225,-0.918561857771452,1141.9036994587393
2.0,-2787.913232599112,0.9094982304816863,1144.4030096286442
2.02,-2769.556919609861,-0.9055787848932813,1057.53207434686
2.04,-2746.043268772322,0.8975795481659179,1270.470872718962
2.06,-2705.3578840899922,0.8809152046990611,1476.7619233630412
2.08,-2697.236948058735,-0.8811214028226512,1670.2117355199068
2.1,-2656.22651166916,0.8673721690101315,1662.2995493802623
2.12,-2628.291959070598,-0.8607552250654903,1454.3711154419302
2.14,-2593.52087215454,-0.8423059213800036,1884.1948181700525
2.16,-2564.974327306131,0.8356336000901103,1664.2382955604196
2.18,-2520.256927646501,-0.8148515199452343,1911.107588153694
2.2,-2480.7213471907776,0.7997392068543798,1999.7519704388176
2.22,-2429.637385951536,-0.7735243020927327,2118.996084213381
2.24,-2325.459279009253,-0.6586676676378648,3420.704749542354
2.26,-2206.4083271254103,-0.379235787326343,4361.721671862544
2.28,-2315.683141501919,-0.7099059864018378,2378.5143594601013
2.3,-2220.411574261264,0.6231936771002802,2694.876976129872
2.32,-2121.676111731788,0.49951436986701236,2933.3844348133102
2.34,-2009.133068027038,0.15387363413548438,3066.8476631141566
2.36,-2031.674300364647,0.30966357030457203,2172.1540333897165
2.38,-1956.3882871587396,-0.1768689847516199,1908.6191285798056
2.4,-1905.7188599963106,-0.1997897663794435,1713.0074666264086
2.42,-1915.2714273281586,-0.13520628608940824,1993.4020995169076
2.44,-1849.034354763958,0.01230842241997817,1610.940501312992
2.46,-1833.760885379602,0.19399505559231495,1523.1970989166762
2.48,-1783.2511000411826,0.027698355632581446,1408.3631386061024
2.5,-1773.6231715081526,-0.001128963198432975,1493.6678064293415
2.52,-1742.011775135634,-0.0448846169541466,1247.8194485078577
2.54,-1726.7985380809753,0.0714916983170109,1083.501110805944
2.56,-1695.8679875627784,0.02000583853598229,1132.722878390311
2.58,-1650.1377863261353,-0.005053725253497709,1283.183227589027
2.6,-1657.3150525442213,-0.08075028180292242,1145.1383323924608
2.62,-1619.7538189657218,-0.013485648663065309,1037.4022805659934
2.64,-1601.6169020958143,0.034593011828852036,1048.2592971710742
2.66,-1587.8031281269507,-0.029458131081352864,1002.2120541410593
2.68,-1565.6496282949706,-0.006471822206195208,885.9759189909327
2.7,-1535.87044435959,-0.001471811796039229,945.7855404636326
2.72,-1516.9565933972128,-9.801682364488133e-5,922.4769301143602
2.74,-1511.0930005858836,0.03514093529421807,915.8536769237882
