T,E,M,C
1.0,-6041.590508131635,-0.9992900375367668,70.84872905164957
1.02,-6040.022838065028,-0.9991528426046917,79.637677636125
1.04,-6038.662568701791,-0.9990424937881944,90.11168765818931
1.06,-6035.710637208495,-0.9987898698086297,101.73600627889874
1.08,-6034.081462859338,0.9986449795873004,108.955845413078
1.1,-6031.792278080573,-0.9984447714084594,119.63902644135734
1.12,-6028.959792253846,0.9982058862076656,134.49259026912134
1.14,-6026.205714869858,-0.9979645372907547,146.8006820094314
1.16,-6022.959942507173,0.9976737143497961,170.35142788231624
1.18,-6019.313182350037,-0.9973625669889961,185.53632934099127
1.2,-6015.344810454988,-0.9970135839462153,200.2828198019415
1.22,-5706.633763244379,-0.1573631619427904,340.34145724912366
1.24,-6006.10988761624,0.996201398530697,249.74596482661866
1.26,-6002.814246130371,-0.9959178155416044,256.0726632841605
1.28,-5997.062429816605,-0.9953898294083612,275.3121809428194
1.3,-5675.72060944688,-0.16099286179076785,447.9216459036402
1.32,-5983.33956701045,0.994146526883211,324.7126361698979
1.34,-5978.293340318718,0.9936986010361427,345.44754074212165
1.36,-5969.71349730921,0.9928834005762883,364.74873412522936
1.38,-5962.336760445745,-0.9922280656357556,359.36585976668863
1.4,-5954.750861257797,0.9915109398385274,427.1227497227339
1.42,-5942.104363052575,-0.9903396045091447,457.5683231166409
1.44,-5932.855292607338,0.9894240809580261,478.44937083779917
1.46,-5588.592780217497,0.2490003744061198,636.0298161950473
1.48,-5916.788369511265,-0.9879278526429893,550.431505092566
1.5,-5898.086388172199,-0.9860491110614483,644.6677609218491
1.52,-5891.053415938882,0.9854452875103016,572.7396381617758
1.54,-5877.132528941941,-0.9840185829218426,667.5636872955812
1.56,-5862.405378187844,-0.9825748844603682,746.717167161601
1.58,-5848.949003976866,-0.9811831273805924,832.6739810665024
1.6,-5836.35689130714,-0.9800305372106664,826.3783822767435
1.62,-5813.145081483789,0.9776138917057113,857.7904950459997
1.64,-5800.381227058553,0.9762491274224956,812.8620606195017
1.66,-5780.4986731661875,-0.9741260549448352,943.9507477774423
1.68,-5759.487979403398,-0.9719044425621882,1065.882536848741
1.7,-5746.102945119422,-0.970274728581418,1089.3902033735003
1.72,-5721.249704505462,0.9678310912995326,996.0343042391581
1.74,-5700.0776139947975,0.9655844490527125,1060.1138294506993
1.76,-5677.9735659895205,0.962920825402217,1255.644277009482
1.78,-5655.706714759482,-0.960493185815357,1266.7780893487604
1.8,-5623.868639376815,0.9568909119608019,1353.012772227557
1.82,-5590.781660105385,-0.9527379422028535,1454.5702095883628
1.84,-5560.7785232917995,0.9492710148378102,1595.0546285537175
1.86,-5535.060210385501,-0.9457669414972898,1546.2052143310357
1.88,-5499.399866622633,-0.941475337527442,1732.6048454120098
1.9,-5472.901930182435,0.9381470812266205,1757.3157406744865
1.92,-5445.787681033778,-0.9351776291852739,1573.3518553416716
1.94,-5405.339978995378,-0.9297705839342036,1751.3997965909125
1.96,-5367.660892341729,-0.9244821071697538,1878.7845785282352
1.98,-5322.453607302576,-0.9173307849928263,2031.6461746163461
2.0,-5281.297923926432,0.9120951661113051,2049.7186956629157
2.02,-5227.733151413714,0.9034594003510669,2616.4532622141487
2.04,-5188.176139639538,-0.8971474036498449,2283.9975547267827
2.06,-5127.166124440158,0.8863388846944388,2743.0359417468503
2.08,-5091.67698663208,-0.882312513005169,2336.821142378636
2.1,-5049.714059547464,0.8774407022875665,2393.241418629479
2.12,-4971.907027559589,-0.8587045932073438,3131.3572427998574
2.14,-4910.817445072164,-0.8459040355224632,3173.8880797737443
2.16,-4856.508448004308,0.8360063154465447,3408.855723717923
2.18,-4757.437114907003,0.808601751285349,3214.4333545824684
2.2,-4629.949691132476,0.7513621381728987,4131.031625894137
2.22,-4589.988126902814,-0.7689002569158548,3820.509637875525
2.24,-4543.280943538017,0.756852906656176,4740.594678291277
2.26,-4441.7564961981725,-0.7257531766087219,5097.5443813652255
2.28,-4142.967306242056,-0.32871569356741315,5360.4690908795765
2.3,-4104.29340509068,0.513333580095803,4797.394866620971
2.32,-3987.8837722221256,-0.4345147609673262,6070.6636287676465
2.34,-3858.982358012259,-0.2018099499489203,3572.45735323103
