T,E,M,C
1.0,-199.68422650675572,0.9992001372928232,2.4765341224338044
1.02,-199.63910469237825,0.9990745935670391,2.826589591571525
1.04,-199.67316387350579,0.9991605335938377,2.4242154413096992
1.06,-199.60372538795124,-0.9989761123688953,2.852864801086393
1.08,-199.59670233199782,0.9989808648127736,2.762743450389049
1.1,-199.33703407898298,0.9982734107365628,4.557304031607427
1.12,-199.33167437838694,0.9982962488696444,4.14606850990729
1.14,-199.07385429799143,0.9976142731731144,5.843011613030147
1.16,-199.16359627989254,0.99781757216124,5.520414355910292
1.18,-199.0294189477297,-0.9974676074745383,5.921639842402782
1.2,-198.8652220117359,0.9970720985340031,6.52234862520547
1.22,-198.59116441475635,-0.9962552062362627,7.925006572741888
1.24,-198.39779275384322,-0.9958325027557574,8.819475471912357
1.26,-198.28954264328289,0.995463132256553,9.369411817538769
1.28,-198.3020574121623,0.9955936924508749,8.974732430346855
1.3,-198.21516689658813,0.9953624068487998,9.109749034429953
1.32,-197.67214737856517,0.9938253872911732,11.798524559060223
1.34,-197.6160949432677,-0.9936462465594288,11.51755127559454
1.36,-197.56867611434907,-0.9934226176724907,12.102519801081325
1.38,-197.28500801974906,0.9927142395099703,11.92201743131494
1.4,-196.61182434439377,0.9907686417911437,15.29751059051891
1.42,-196.47278895848874,-0.9904696338638032,14.964004401734252
1.44,-196.58257041207648,-0.990736958831955,13.890498092930109
1.46,-195.98043577270116,0.9891648239945614,16.906861741516764
1.48,-195.36438703374895,0.987392294440301,18.64520178465965
1.5,-195.03802615164255,0.9864653038593807,18.30996328250492
1.52,-194.0442109293008,-0.9833103411858671,23.675403100642544
1.54,-194.23554960033266,-0.9837709322050683,21.72108861135496
1.56,-194.20587322855954,-0.9840340327786619,20.62438463952307
1.58,-193.02106256724377,-0.9800312869221989,26.81303943229816
1.6,-193.21815697586155,0.980944812245464,22.99907130818894
1.62,-193.2327311370882,-0.9809720067854341,23.36145184099709
1.64,-191.72538795123464,0.9769748054468291,25.723672098013218
1.66,-191.00697685163794,-0.9740686860152742,33.05784399981573
1.68,-190.71192929419607,0.9733402419786011,32.87533757014582
1.7,-189.59568583705718,0.9699922772786982,33.541670274957724
1.72,-189.0127985953888,-0.967321007782127,36.550753622453314
1.74,-188.04401291080586,-0.964350598345886,39.13762369444474
1.76,-187.71775763856346,-0.963791394116211,40.285911816290294
1.78,-186.91686523521298,0.9606351113193977,40.028397362200074
1.8,-186.18150375245048,0.9579124890264755,44.7526789942851
1.82,-185.46610253397668,0.9562970541448574,39.99433809136666
1.84,-185.03212520049374,0.9548859743500047,40.98611764375929
1.86,-181.49525085643,0.940776100487786,56.163923504923844
1.88,-181.92283879314328,-0.9409656701935964,55.24655871131501
1.9,-181.03473904462678,0.9398822450016834,56.397507059428335
1.92,-180.9452082824536,0.9401008574200834,46.8373439948877
1.94,-177.4165979102448,-0.9237589190830425,67.18473423982846
1.96,-178.1044613566907,0.9282885261483428,59.027983445889575
1.98,-176.3402221767513,-0.9191561771869495,66.54094823790201
2.0,-175.14028290242308,0.9139192480577689,66.4726826348915
2.02,-171.9553006250784,-0.6158097966350058,82.14529234689896
2.04,-172.4007894337331,-0.9046873617995923,76.13840324171596
2.06,-169.85833756872893,0.8937736384578322,75.8889653104278
2.08,-166.25234156870252,0.6013458657038568,105.62764245244153
2.1,-162.6406426360222,-0.3072357278169781,130.53266706775253
2.12,-165.17665229932476,-0.8675332836086893,93.53001504654063
2.14,-160.46816852694042,-0.8160226005108878,111.68292946099776
2.16,-160.4679573072125,-0.5468319020996563,97.94704803389443
2.18,-160.33731790549237,0.6442300710886397,103.53732497288811
2.2,-155.86555864317728,-0.448742384538716,108.37031501257287
2.22,-150.23011069233866,-0.7563367898561726,141.1434960106453
2.24,-155.0575111715434,0.8193275291912264,102.31018702427335
2.26,-148.72818001201313,-0.625050791743949,130.42828948815944
2.28,-148.13966904508882,0.6897876581672729,119.69604048657332
2.3,-147.20665870192275,0.006815928607731931,116.19509511145463
2.32,-140.55666959293998,-0.5122991927446023,130.17149168022107
2.34,-140.0155774549343,-0.453339845941611,119.73661443301918
2.36,-133.98567666220026,0.07216929261192993,125.81771123869987
2.38,-139.84179642378598,-0.011122434835413612,110.62338687551038
2.4,-129.0578412023683,0.39738311958336914,118.0888452807513
2.42,-126.75153299318157,-0.17639632741698075,121.35084877084763
2.44,-126.62136883584927,-0.16451033326512698,132.1891035221158
2.46,-123.7208731295503,0.2379503765651712,129.75183398210373
2.48,-120.55078184302414,-0.35022329885611314,117.91703512369995
2.5,-120.68134203734628,-0.06256473554630004,112.83899131970072
2.52,-112.45008283773704,0.12845380558544167,96.82512125034441
2.54,-112.79505745836661,-0.060047392426452614,103.15416139474995
2.56,-112.99196704972245,0.1774445053167966,105.98865331936686
2.58,-109.55505244189807,0.2092729420927915,95.33069791424413
2.6,-104.24081689229774,0.15481442366717052,75.66221664998608
2.62,-111.34149609573534,-0.008566412102890409,91.2816231205431
2.64,-109.2570214057993,-0.196455732965459,90.68783846710468
2.66,-104.50985802073913,-0.029207992026455253,84.22527750056354
2.68,-98.30282308367602,0.12302823083676016,77.0022559927969
2.7,-100.05692371667514,0.08377396848865684,74.89047987275752
2.72,-97.16962924337133,-0.016873419977425887,78.15341706906706
2.74,-98.01057418762912,-0.14551811539197762,66.37781940661803
2.76,-94.82165794285186,-0.10790819862575166,64.56804090514159
2.78,-93.32014970198216,-0.009085880621250046,68.64647714970351
2.8,-93.24384657527013,0.031980646992429085,57.07816148311438
2.82,-92.37956185107689,0.03554590398743244,70.39679978031448
2.84,-90.91551870944747,-0.08871070157952754,62.85458642105837
2.86,-87.30590557158038,-0.03415449402974237,45.635934106534826
2.88,-88.50309898944562,0.0855410855373892,55.71756048320368
2.9,-87.55569930231484,-0.006064514425647348,46.8371939194159
2.92,-85.93281892528762,-0.07144375284651586,51.95014055614428
2.94,-85.87188203378196,0.028870304486439017,48.88579663818403
2.96,-83.32636748272289,0.03403687104375548,40.44197770242014
2.98,-82.15048085491185,0.005128547006290379,43.76298030809969
3.0,-82.97537309984753,0.02024461884740035,41.56911110747003
3.02,-81.14203866641144,-0.023271661573190945,36.100190746192155
3.04,-81.35346961406195,0.011912528630174078,39.202419805590296
3.06,-78.84674028554267,-0.0336540352868958,40.61858956567925
3.08,-80.15255344849209,-0.04186348604959703,46.96131720606593
3.1,-77.90382901763024,0.004609078487930768,40.15374586517015
3.12,-78.17553679513667,0.046286295139966065,38.90422768341419
3.14,-77.70567851037286,0.07897690444287496,39.30874001430556
3.16,-77.6237516584049,0.0026333819578748686,39.67272802607328
3.18,-76.79542709289048,-0.00533897466023327,34.276669542916416
3.2,-75.75083992844932,-0.028148593078593548,32.05196633501161
3.22,-74.70517026290256,0.02880720259272216,29.542514193945774
3.24,-72.76839096771639,0.019891485864779776,31.890126387446116
3.26,-72.68506478505093,0.030930092870674136,32.96870091035351
3.28,-74.01128705421087,0.0618559613467898,31.831188809944596
3.3,-72.6392829090237,0.01902046851175899,30.423760471164474
3.32,-70.77165167226619,-0.024195087821202502,31.140682283317684
3.34,-72.21729229510036,-0.050208381462828626,29.308932842155933
3.36,-69.48519151688768,-0.04148249846535666,27.83966933113426
3.38,-68.67867538828126,0.008108857367278106,27.75415523811747
3.4,-68.1066659626009,0.040004884456208215,27.159040688577953
3.42,-66.91773651659065,0.009205483792186196,26.81772388140565
3.44,-66.3915353694035,-0.023639711949096042,24.497083996135053
3.46,-68.15817717374803,0.03146051841241973,27.52668659266259
3.48,-66.00006600616497,0.02352882159193669,24.6710032408238
3.5,-66.74506438901393,-0.0005023069154659054,24.18475293792601
