mode_index,eigenvalue,degeneracy,ratio
0,9.591823501356284,1,2.1589187999925614
1,14.563250909932709,2,3.27788310262556
2,14.563250909932753,2,3.27788310262557
3,14.872591553698719,1,3.3475092098338304
4,14.925585203594805,1,3.359436971747371
5,15.29089329988804,2,3.441660181626644
6,15.290893299888047,2,3.441660181626646
7,17.92183815514493,1,4.033830826650988
8,19.262512574241104,1,4.335588590192671
9,19.653536477401016,2,4.423599890198248
10,19.653536477401033,2,4.423599890198251
11,19.9815728914356,1,4.497434024160499
12,20.539131681994377,1,4.622928843249721
13,21.285441835989182,1,4.790907645388532
14,21.673506248410526,2,4.878252825944246
15,21.67350624841053,2,4.878252825944247
16,23.267669969512905,1,5.237065728127797
17,23.429102042359936,1,5.2734007104116065
18,24.49382925104404,2,5.513048529970286
19,24.49382925104406,2,5.5130485299702885
