mode_index,eigenvalue,degeneracy,ratio
0,49777.81983045698,1,11203.945844022293
1,190266.10693023825,2,42824.920120246534
2,190266.1069302384,2,42824.92012024657
3,364827.4394641173,1,82115.02408284093
4,475104.6469835173,1,106936.11639033066
