q,P,chi,average_cluster_size
0.0,6.0000097199991805e-12,0.0020784615302632584,1.000002160002333
0.00010001000100010001,5.672759870392856e-6,0.20099825219405948,1.0005964347311798
0.00020002000200020003,6.2074780234133934e-6,0.42379092963000653,1.0011955817887634
0.00030003000300030005,6.728715919176758e-6,0.49391862885998794,1.001794971060393
0.00040004000400040005,7.256077056442035e-6,0.4872380844089335,1.0023949890173303
0.0005000500050005,7.767339389333042e-6,0.402774888320356,1.0029957301042112
0.0006000600060006001,8.096289574801438e-6,0.2793574811792634,1.003597949945927
0.0007000700070007,8.248119519328665e-6,0.17240341167618445,1.0042012959225337
0.0008000800080008001,8.300228583555101e-6,0.1084560652034812,1.00480505700298
0.0009000900090009,8.333238166652993e-6,0.004616294234761751,1.0054096159584143
0.001000100010001,8.335596190957992e-6,0.028072141241689653,1.0060159417378591
0.0011001100110011,8.380972165978097e-6,0.1297302504480472,1.0066220804946568
0.0012001200120012002,8.389015720108406e-6,0.1400639523148666,1.0072284832167921
0.0013001300130013002,8.40620700465806e-6,0.1597509040033493,1.0078353717290123
0.0014001400140014,8.430686684657272e-6,0.18382866899561395,1.0084426831507067
0.0015001500150015,8.444480137292212e-6,0.19592320180511796,1.0090510824341898
0.0016001600160016002,8.458248645558779e-6,0.20717464857592846,1.009660829106653
0.0017001700170017002,8.484376630365423e-6,0.2267001593079682,1.0102714142079805
0.0018001800180018,8.529946246140636e-6,0.2564075431825486,1.0108816090667745
0.0019001900190019003,8.634410109413411e-6,0.31082766757551417,1.0114919149362964
0.002000200020002,8.744293743272354e-6,0.3550104355413126,1.0121032024405276
0.0021002100210021,8.824081114174758e-6,0.38246709028090536,1.01271530299954
0.0022002200220022,8.970079154358148e-6,0.4366563810376144,1.013327791155723
0.0023002300230023,9.141591309973057e-6,0.47561964440956384,1.0139405032919608
0.0024002400240024004,9.222641056851436e-6,0.48747140212486895,1.0145536028271438
0.0025002500250025004,9.338723614626e-6,0.5009128651789659,1.015167217986186
0.0026002600260026003,9.502949075086971e-6,0.5135590365202496,1.0157824798737536
0.0027002700270027003,9.654119401003503e-6,0.5190847519310483,1.0163983321721093
0.0028002800280028,9.803017514577729e-6,0.5250770865115593,1.0170148317955516
0.0029002900290029,9.950598923266292e-6,0.5437810237569145,1.0176320549646958
0.003000300030003,1.0137832663811592e-5,0.5372099656604499,1.0182488465351882
0.0031003100310031005,1.023915651089882e-5,0.5370458030712604,1.0188658037920255
0.0032003200320032004,1.0342323825182073e-5,0.538568406599464,1.0194834442110199
0.0033003300330033004,1.0487005133028005e-5,0.5229991753963924,1.0201018330460474
0.0034003400340034003,1.058498448850995e-5,0.5034905867772176,1.0207211662741253
0.0035003500350035003,1.0657667890896876e-5,0.4864934743987452,1.0213415477367418
0.0036003600360036,1.0717716162623934e-5,0.47522086220018733,1.0219622824190093
0.0037003700370037006,1.0803751016486755e-5,0.46354478502374125,1.0225836586443995
0.0038003800380038005,1.0924341087904834e-5,0.4276252076751238,1.0232053508341463
0.0039003900390039005,1.1003155317027446e-5,0.4039763793411223,1.0238278902453835
0.004000400040004,1.105711612270664e-5,0.39552326326847004,1.0244514047043236
0.004100410041004101,1.1087533351986265e-5,0.3887287338267116,1.025075732567912
0.0042004200420042,1.1137582811575986e-5,0.38001956546007515,1.025700369791529
0.004300430043004301,1.1203236534874177e-5,0.35424318194335924,1.0263242713903944
0.0044004400440044,1.1226871406707067e-5,0.34665317082236485,1.0269490577382805
0.004500450045004501,1.1255599055869007e-5,0.3520173231526554,1.0275744132020128
0.0046004600460046,1.1293632238019716e-5,0.3533552901497616,1.0282013085954582
0.0047004700470047005,1.1307968228136916e-5,0.35191163579095847,1.028830053329904
0.004800480048004801,1.1332397422736736e-5,0.3391247021123314,1.029460396234678
0.0049004900490049,1.1383640063949354e-5,0.31828936587721024,1.0300904787176435
0.005000500050005001,1.1416914218047904e-5,0.3144427688210583,1.0307201628741507
0.0051005100510051,1.1443654788858817e-5,0.324580779292801,1.0313505281094184
0.005200520052005201,1.1469768536098627e-5,0.3352646484794356,1.031982253297068
0.0053005300530053,1.150168738830294e-5,0.34755403190691914,1.0326155179170808
0.0054005400540054005,1.1577441562372674e-5,0.37370097686893444,1.033249388444877
0.005500550055005501,1.1642263164921949e-5,0.39320283201903766,1.0338829537649794
0.0056005600560056,1.1664285115261567e-5,0.39930145814786316,1.0345169122338054
0.005700570057005701,1.1667612650520253e-5,0.40020122627306265,1.0351516164752226
0.0058005800580058,1.1675949244466714e-5,0.40243095610644053,1.0357866809440879
0.005900590059005901,1.1689647601276125e-5,0.4060200014974646,1.036421264049557
0.006000600060006,1.169647573253874e-5,0.40777494121296676,1.037056572787932
0.006100610061006101,1.1713048451769535e-5,0.4119423086177375,1.0376942900552535
0.006200620062006201,1.1741318033812866e-5,0.41875919302016995,1.0383326716289853
0.0063006300630063005,1.177274377269631e-5,0.4259238841718086,1.038970923122087
