T,E_1,M_1,E_2,M_2,E_3,M_3
10.0,-16.0,-0.005,36.0,-0.04,-48.0,0.035
10.0,-336.0,0.00375,-316.0,-0.02875,-288.0,0.045
9.6,-348.0,0.0475,-368.0,-0.05125,-332.0,-0.03125
9.216,-472.0,-0.01375,-388.0,-0.00875,-332.0,-0.03125
8.847359999999998,-472.0,-0.01375,-456.0,-0.0375,-512.0,-0.02625
8.493465599999999,-472.0,-0.01375,-460.0,-0.05,-512.0,-0.02625
8.153726975999998,-472.0,-0.01375,-460.0,-0.05,-512.0,-0.02625
7.827577896959998,-472.0,-0.01375,-460.0,-0.05,-512.0,-0.02625
7.5144747810815975,-472.0,-0.01375,-460.0,-0.05,-476.0,-0.02125
7.213895789838333,-472.0,-0.01375,-484.0,-0.00375,-476.0,-0.02125
6.9253399582448,-472.0,-0.01375,-508.0,-0.02,-584.0,-0.035
6.648326359915008,-472.0,-0.01375,-536.0,-0.0275,-584.0,-0.035
6.3823933055184074,-568.0,0.05125,-568.0,0.03875,-584.0,-0.035
6.127097573297671,-572.0,0.0175,-580.0,-0.03625,-584.0,-0.035
5.8820136703657635,-604.0,0.0275,-580.0,-0.03625,-588.0,0.025
5.646733123551133,-672.0,0.04625,-580.0,-0.03625,-588.0,0.025
5.420863798609088,-672.0,0.04625,-580.0,-0.03625,-616.0,0.05125
5.204029246664724,-780.0,0.01,-580.0,-0.03625,-624.0,-0.03375
4.995868076798136,-780.0,0.01,-620.0,-0.01625,-708.0,0.0375
4.79603335372621,-780.0,0.01,-676.0,-0.0425,-808.0,-0.02
4.6041920195771615,-820.0,0.06875,-736.0,-0.025,-808.0,-0.02
4.420024338794075,-820.0,0.06875,-784.0,0.02375,-808.0,-0.02
4.243223365242312,-820.0,0.06875,-784.0,0.02375,-888.0,-0.0675
4.0734944306326195,-1024.0,0.02375,-1016.0,0.02,-888.0,-0.0675
3.910554653407315,-1024.0,0.02375,-1016.0,0.02,-888.0,-0.0675
3.754132467271022,-1024.0,0.02375,-1020.0,-0.01625,-888.0,-0.0675
3.6039671685801813,-1024.0,0.02375,-1020.0,-0.01625,-1020.0,-0.02875
3.459808481836974,-1024.0,0.02375,-1048.0,0.00625,-1020.0,-0.02875
3.321416142563495,-1040.0,0.095,-1148.0,0.04375,-1064.0,0.09625
3.188559496860955,-1268.0,0.04875,-1148.0,0.04375,-1064.0,0.04625
3.061017116986517,-1268.0,0.04875,-1264.0,-0.0125,-1116.0,-0.01875
2.9385764323070562,-1300.0,0.035,-1264.0,0.05375,-1212.0,-0.075
2.821033375014774,-1440.0,0.015,-1292.0,0.08875,-1256.0,0.03375
2.7081920400141826,-1440.0,0.015,-1392.0,0.0,-1460.0,0.005
2.599864358413615,-1644.0,0.06375,-1528.0,0.0175,-1460.0,0.005
2.4958697840770703,-1644.0,0.06375,-1556.0,-0.09125,-1500.0,0.01875
2.3960349927139872,-1644.0,0.06375,-1556.0,-0.09125,-1524.0,0.0225
2.3001935930054276,-1644.0,0.13125,-1664.0,-0.015,-1524.0,-0.09125
2.2081858492852104,-1796.0,0.2075,-1748.0,-0.02,-1732.0,-0.14
2.119858415313802,-1920.0,0.19375,-1748.0,-0.02,-1832.0,0.0575
2.0350640787012497,-1920.0,0.19375,-1968.0,-0.0875,-1832.0,-0.02625
1.9536615155531996,-1972.0,0.04,-1968.0,-0.0875,-1900.0,0.03125
1.8755150549310715,-1972.0,0.04,-2104.0,0.01625,-2028.0,0.0825
1.8004944527338287,-2156.0,0.23125,-2104.0,0.01625,-2124.0,0.12375
1.7284746746244755,-2156.0,0.23125,-2192.0,0.0575,-2124.0,0.12375
1.6593356876394965,-2212.0,0.30375,-2192.0,0.0475,-2124.0,0.12375
1.5929622601339166,-2240.0,0.315,-2220.0,0.01375,-2152.0,0.09875
1.52924376972856,-2308.0,0.3275,-2236.0,-0.0275,-2256.0,0.1275
1.4680740189394175,-2308.0,0.3275,-2320.0,-0.03125,-2272.0,-0.09875
1.4093510581818407,-2308.0,0.3275,-2320.0,-0.03125,-2324.0,-0.0275
1.352977015854567,-2308.0,0.3275,-2320.0,-0.03125,-2324.0,-0.0275
1.2988579352203844,-2340.0,0.22875,-2408.0,-0.01625,-2324.0,-0.0275
1.2469036178115689,-2352.0,0.365,-2408.0,-0.01625,-2328.0,-0.10375
1.1970274730991062,-2380.0,0.37,-2408.0,-0.01625,-2336.0,-0.07625
1.149146374175142,-2392.0,0.32375,-2408.0,-0.01625,-2336.0,-0.07625
1.1031805192081363,-2424.0,0.4225,-2408.0,-0.01625,-2352.0,-0.01875
1.0590532984398109,-2424.0,0.4225,-2432.0,0.025,-2400.0,-0.1175
1.0166911665022185,-2432.0,0.41125,-2436.0,0.0425,-2428.0,-0.0175
0.9760235198421296,-2432.0,0.41125,-2440.0,0.0275,-2428.0,-0.0175
0.9369825790484444,-2432.0,0.385,-2440.0,0.0275,-2428.0,-0.0175
0.8995032758865066,-2452.0,0.41875,-2468.0,-0.0375,-2428.0,-0.03875
0.8635231448510463,-2468.0,0.42375,-2468.0,-0.0275,-2428.0,-0.03875
0.8289822190570044,-2468.0,0.425,-2476.0,-0.01875,-2428.0,-0.03875
0.7958229302947242,-2468.0,0.425,-2480.0,0.0025,-2444.0,0.02625
0.7639900130829351,-2468.0,0.42375,-2488.0,0.00625,-2444.0,-0.02625
0.7334304125596177,-2468.0,0.415,-2488.0,0.00625,-2448.0,-0.01625
0.704093196057233,-2472.0,0.45125,-2492.0,0.00875,-2456.0,-0.02875
0.6759294682149436,-2484.0,0.47375,-2492.0,0.00875,-2464.0,-0.0275
0.6488922894863458,-2484.0,0.47375,-2492.0,0.00875,-2464.0,-0.0275
0.6229365979068919,-2484.0,0.47375,-2492.0,0.00875,-2464.0,-0.0275
0.5980191339906162,-2484.0,0.47375,-2492.0,0.00875,-2464.0,-0.0275
0.5740983686309916,-2484.0,0.47375,-2492.0,0.00875,-2464.0,-0.0275
0.5511344338857519,-2484.0,0.47375,-2492.0,-0.005,-2464.0,-0.04125
0.5290890565303218,-2484.0,0.47375,-2492.0,0.0075,-2464.0,-0.0275
0.5079254942691089,-2484.0,0.47375,-2492.0,-0.00375,-2464.0,-0.045
0.48760847449834455,-2484.0,0.47375,-2492.0,0.00375,-2464.0,-0.045
0.46810413551841074,-2484.0,0.47375,-2492.0,0.01375,-2464.0,-0.045
0.4493799700976743,-2484.0,0.47375,-2492.0,0.0025,-2464.0,-0.0425
0.4314047712937673,-2484.0,0.47375,-2492.0,0.005,-2464.0,-0.025
0.4141485804420166,-2484.0,0.47375,-2492.0,0.01125,-2464.0,-0.02125
0.3975826372243359,-2484.0,0.47125,-2492.0,0.0225,-2464.0,-0.0525
0.38167933173536245,-2484.0,0.4625,-2492.0,0.0,-2464.0,-0.02625
0.36641215846594793,-2484.0,0.46375,-2492.0,0.00375,-2464.0,-0.0325
0.35175567212731,-2484.0,0.45375,-2492.0,-0.00625,-2464.0,-0.0475
0.3376854452422176,-2484.0,0.49,-2492.0,0.01875,-2464.0,-0.00375
0.3241780274325289,-2484.0,0.47125,-2492.0,0.00625,-2464.0,-0.04875
0.3112109063352277,-2484.0,0.44875,-2492.0,-0.00625,-2464.0,-0.0325
0.29876247008181855,-2484.0,0.4575,-2492.0,-0.01,-2464.0,-0.04125
0.2868119712785458,-2484.0,0.48625,-2492.0,0.01375,-2464.0,-0.02875
0.27533949242740396,-2484.0,0.48,-2492.0,0.0225,-2464.0,-0.055
0.2643259127303078,-2484.0,0.465,-2492.0,-0.00875,-2464.0,-0.035
0.2537528762210955,-2484.0,0.48375,-2492.0,-0.00125,-2464.0,-0.03125
0.24360276117225166,-2484.0,0.46375,-2492.0,0.00625,-2464.0,-0.0325
0.23385865072536158,-2484.0,0.47875,-2492.0,-0.01,-2464.0,-0.0275
0.2245043046963471,-2484.0,0.4725,-2492.0,-0.00875,-2464.0,-0.03875
0.21552413250849323,-2484.0,0.4675,-2492.0,0.00625,-2464.0,-0.04375
0.2069031672081535,-2484.0,0.45875,-2492.0,-0.0025,-2464.0,-0.04875
0.19862704051982735,-2484.0,0.48875,-2492.0,-0.01125,-2464.0,-0.0225
0.19068195889903425,-2484.0,0.46875,-2492.0,-0.01,-2464.0,-0.0275
0.18305468054307286,-2484.0,0.4675,-2492.0,0.01625,-2464.0,-0.0375
0.17573249332134994,-2484.0,0.4825,-2492.0,-0.0025,-2464.0,-0.05125
0.16870319358849592,-2484.0,0.46375,-2492.0,0.01125,-2464.0,-0.0275
0.1619550658449561,-2484.0,0.485,-2492.0,0.0,-2464.0,-0.02625
0.15547686321115783,-2484.0,0.49125,-2492.0,0.00625,-2464.0,-0.03125
0.14925778868271153,-2484.0,0.47875,-2492.0,0.01875,-2464.0,-0.005
0.14328747713540307,-2484.0,0.495,-2492.0,-0.01,-2464.0,-0.0275
0.13755597804998695,-2484.0,0.48875,-2492.0,0.015,-2464.0,-0.0375
0.13205373892798747,-2484.0,0.475,-2492.0,0.02125,-2464.0,-0.0175
0.12677158937086797,-2484.0,0.48125,-2492.0,0.0375,-2464.0,-0.02875
0.12170072579603325,-2484.0,0.46125,-2492.0,-0.015,-2464.0,-0.03
0.11683269676419192,-2484.0,0.47875,-2492.0,-0.00875,-2464.0,-0.0375
0.11215938889362424,-2484.0,0.48125,-2492.0,0.0025,-2464.0,-0.02125
0.10767301333787926,-2484.0,0.4675,-2492.0,0.00875,-2464.0,-0.035
0.1033660928043641,-2484.0,0.47125,-2492.0,0.0275,-2464.0,-0.03625
