T,E_1,M_1,E_2,M_2,E_3,M_3
10.0,48.0,-0.005,60.0,0.035,24.0,0.02625
10.0,-280.0,-0.02375,-244.0,-0.00625,-248.0,-0.00875
9.6,-308.0,0.0225,-288.0,0.015,-308.0,-0.01
9.216,-352.0,-0.0025,-288.0,0.015,-308.0,-0.01
8.847359999999998,-352.0,-0.0025,-288.0,0.015,-328.0,-0.01
8.493465599999999,-372.0,0.015,-288.0,0.015,-508.0,0.0225
8.153726975999998,-392.0,-0.0025,-376.0,0.06875,-508.0,0.0225
7.827577896959998,-420.0,0.0225,-376.0,0.06875,-508.0,0.0225
7.5144747810815975,-420.0,0.0225,-516.0,0.01125,-508.0,0.0225
7.213895789838333,-416.0,0.00125,-516.0,0.01125,-568.0,0.03125
6.9253399582448,-440.0,0.02125,-516.0,0.01125,-568.0,0.03125
6.648326359915008,-508.0,-0.0225,-516.0,0.01125,-568.0,0.03125
6.3823933055184074,-500.0,0.00625,-516.0,0.01125,-568.0,0.03125
6.127097573297671,-564.0,-0.01625,-516.0,0.01125,-568.0,0.03125
5.8820136703657635,-564.0,-0.01625,-552.0,0.015,-568.0,0.03125
5.646733123551133,-656.0,-0.05375,-552.0,0.015,-568.0,0.03125
5.420863798609088,-656.0,-0.05375,-552.0,0.015,-568.0,0.03125
5.204029246664724,-656.0,-0.05375,-584.0,0.0375,-568.0,0.03125
4.995868076798136,-656.0,-0.05375,-596.0,-0.01,-692.0,-0.03875
4.79603335372621,-652.0,0.00875,-672.0,-0.0325,-696.0,-0.0175
4.6041920195771615,-652.0,0.00875,-672.0,-0.0325,-696.0,-0.0175
4.420024338794075,-712.0,0.005,-672.0,-0.0325,-712.0,-0.01
4.243223365242312,-792.0,-0.0725,-832.0,-0.03375,-736.0,-0.02375
4.0734944306326195,-836.0,0.01375,-832.0,-0.03375,-804.0,-0.0025
3.910554653407315,-836.0,0.01375,-832.0,-0.03375,-804.0,-0.0025
3.754132467271022,-876.0,0.015,-832.0,-0.03375,-856.0,-0.06875
3.6039671685801813,-944.0,-0.04375,-844.0,0.04375,-916.0,-0.01
3.459808481836974,-944.0,-0.04375,-908.0,0.0525,-916.0,-0.01
3.321416142563495,-948.0,0.005,-948.0,-0.015,-1028.0,-0.055
3.188559496860955,-1052.0,0.02625,-1004.0,0.07875,-1028.0,-0.055
3.061017116986517,-1116.0,-0.02125,-1096.0,0.1025,-1028.0,-0.055
2.9385764323070562,-1156.0,-0.06875,-1096.0,0.1025,-1108.0,-0.11875
2.821033375014774,-1156.0,-0.06875,-1116.0,0.05625,-1108.0,-0.11875
2.7081920400141826,-1236.0,-0.02,-1116.0,0.05625,-1108.0,-0.11875
2.599864358413615,-1272.0,0.055,-1152.0,0.1175,-1108.0,-0.11875
2.4958697840770703,-1356.0,-0.0325,-1268.0,0.09625,-1204.0,-0.0325
2.3960349927139872,-1412.0,-0.00875,-1316.0,0.12125,-1264.0,-0.00125
2.3001935930054276,-1412.0,-0.00875,-1316.0,0.12125,-1304.0,-0.05125
2.2081858492852104,-1412.0,-0.00875,-1360.0,0.1275,-1360.0,-0.02375
2.119858415313802,-1532.0,0.02125,-1368.0,0.1175,-1444.0,-0.03375
2.0350640787012497,-1616.0,-0.005,-1568.0,0.13875,-1484.0,-0.055
1.9536615155531996,-1616.0,-0.005,-1568.0,0.13875,-1532.0,-0.015
1.8755150549310715,-1620.0,0.04,-1628.0,0.10875,-1556.0,-0.07125
1.8004944527338287,-1688.0,-0.04125,-1628.0,0.10875,-1692.0,-0.05375
1.7284746746244755,-1736.0,0.00125,-1628.0,0.10875,-1692.0,-0.05375
1.6593356876394965,-1740.0,-0.055,-1628.0,0.10875,-1692.0,-0.05375
1.5929622601339166,-1816.0,0.0225,-1692.0,0.145,-1692.0,-0.05375
1.52924376972856,-1816.0,0.0225,-1760.0,0.13875,-1696.0,-0.0525
1.4680740189394175,-1820.0,0.12375,-1768.0,0.16125,-1724.0,0.00125
1.4093510581818407,-1852.0,0.02375,-1768.0,0.16125,-1764.0,-0.035
1.352977015854567,-1876.0,0.04625,-1812.0,0.2175,-1824.0,0.0175
1.2988579352203844,-1920.0,0.10625,-1812.0,0.2175,-1824.0,0.0175
1.2469036178115689,-1920.0,0.10625,-1864.0,0.2125,-1824.0,0.0175
1.1970274730991062,-1920.0,0.10625,-1880.0,0.195,-1832.0,-0.05375
1.149146374175142,-1960.0,0.0525,-1880.0,0.195,-1832.0,-0.05875
1.1031805192081363,-1980.0,0.0725,-1888.0,0.19625,-1896.0,-0.035
1.0590532984398109,-2004.0,-0.0275,-1924.0,0.1875,-1896.0,-0.035
1.0166911665022185,-2004.0,-0.0275,-1924.0,0.1875,-1896.0,-0.02625
0.9760235198421296,-2012.0,-0.02125,-1924.0,0.1875,-1896.0,-0.02625
0.9369825790484444,-2012.0,-0.02125,-1928.0,0.21125,-1924.0,-0.06625
0.8995032758865066,-2024.0,0.00875,-1940.0,0.18875,-1924.0,-0.06625
0.8635231448510463,-2028.0,0.055,-1940.0,0.2375,-1924.0,-0.06625
0.8289822190570044,-2036.0,-0.0175,-1948.0,0.225,-1924.0,-0.06625
0.7958229302947242,-2036.0,0.03375,-1956.0,0.2175,-1928.0,0.005
0.7639900130829351,-2036.0,0.03375,-1956.0,0.2175,-1936.0,-0.01125
0.7334304125596177,-2036.0,0.03375,-1972.0,0.255,-1948.0,-0.035
0.704093196057233,-2040.0,0.02625,-1972.0,0.255,-1948.0,-0.035
0.6759294682149436,-2040.0,0.02625,-1972.0,0.255,-1948.0,-0.035
0.6488922894863458,-2048.0,0.01875,-1972.0,0.255,-1948.0,-0.035
0.6229365979068919,-2048.0,0.01875,-1972.0,0.255,-1952.0,-0.04125
0.5980191339906162,-2048.0,0.01875,-1972.0,0.255,-1952.0,-0.04125
0.5740983686309916,-2048.0,0.01875,-1972.0,0.275,-1952.0,-0.04125
0.5511344338857519,-2048.0,0.01875,-1972.0,0.2375,-1952.0,-0.04
0.5290890565303218,-2048.0,0.00125,-1972.0,0.22625,-1952.0,-0.0275
0.5079254942691089,-2048.0,0.00125,-1972.0,0.25625,-1952.0,-0.01
0.48760847449834455,-2048.0,0.01,-1972.0,0.2825,-1952.0,-0.03
0.46810413551841074,-2048.0,0.00125,-1972.0,0.26375,-1952.0,-0.005
0.4493799700976743,-2048.0,-0.01625,-1972.0,0.2525,-1952.0,-0.05125
0.4314047712937673,-2048.0,0.00875,-1972.0,0.275,-1952.0,-0.03375
0.4141485804420166,-2048.0,0.01,-1972.0,0.21375,-1952.0,-0.02375
0.3975826372243359,-2048.0,-0.0075,-1972.0,0.24875,-1952.0,-0.04375
0.38167933173536245,-2048.0,0.00875,-1972.0,0.24375,-1952.0,-0.02875
0.36641215846594793,-2048.0,-0.00875,-1972.0,0.235,-1952.0,0.00125
0.35175567212731,-2048.0,0.0475,-1972.0,0.235,-1952.0,-0.01625
0.3376854452422176,-2048.0,0.0075,-1972.0,0.235,-1952.0,-0.02
0.3241780274325289,-2048.0,0.025,-1972.0,0.23,-1952.0,-0.02375
0.3112109063352277,-2048.0,0.015,-1972.0,0.25625,-1952.0,-0.00125
0.29876247008181855,-2048.0,-0.00375,-1972.0,0.2475,-1952.0,0.00125
0.2868119712785458,-2048.0,-0.00125,-1972.0,0.21375,-1952.0,-0.01125
0.27533949242740396,-2048.0,-0.015,-1972.0,0.24,-1952.0,-0.00875
0.2643259127303078,-2048.0,-0.01625,-1972.0,0.26875,-1952.0,-0.04875
0.2537528762210955,-2048.0,0.00125,-1972.0,0.25,-1952.0,-0.025
0.24360276117225166,-2048.0,0.00875,-1972.0,0.25625,-1952.0,-0.01625
0.23385865072536158,-2048.0,0.0075,-1972.0,0.23375,-1952.0,0.00125
0.2245043046963471,-2048.0,0.02625,-1972.0,0.23875,-1952.0,-0.0375
0.21552413250849323,-2048.0,0.0125,-1972.0,0.24875,-1952.0,0.01125
0.2069031672081535,-2048.0,-0.0125,-1972.0,0.22625,-1952.0,-0.04375
0.19862704051982735,-2048.0,-0.02375,-1972.0,0.2575,-1952.0,-0.02625
0.19068195889903425,-2048.0,-0.0175,-1972.0,0.2425,-1952.0,-0.05375
0.18305468054307286,-2048.0,0.0225,-1972.0,0.2275,-1952.0,-0.03375
0.17573249332134994,-2048.0,0.015,-1972.0,0.23625,-1952.0,-0.04375
0.16870319358849592,-2048.0,0.0025,-1972.0,0.2275,-1952.0,-0.00875
0.1619550658449561,-2048.0,0.035,-1972.0,0.2675,-1952.0,-0.01875
0.15547686321115783,-2048.0,-0.00625,-1972.0,0.245,-1952.0,-0.02625
0.14925778868271153,-2048.0,-0.0075,-1972.0,0.20375,-1952.0,-0.03875
0.14328747713540307,-2048.0,0.0175,-1972.0,0.2325,-1952.0,-0.0025
0.13755597804998695,-2048.0,-0.01,-1972.0,0.24375,-1952.0,-0.0175
0.13205373892798747,-2048.0,0.0,-1972.0,0.22375,-1952.0,-0.03125
0.12677158937086797,-2048.0,-0.00375,-1972.0,0.23875,-1952.0,-0.02125
0.12170072579603325,-2048.0,-0.0175,-1972.0,0.2475,-1952.0,-0.01125
0.11683269676419192,-2048.0,0.0125,-1972.0,0.255,-1952.0,0.00125
0.11215938889362424,-2048.0,0.00375,-1972.0,0.22,-1952.0,-0.0375
0.10767301333787926,-2048.0,0.01125,-1972.0,0.2525,-1952.0,-0.04875
0.1033660928043641,-2048.0,-0.00875,-1972.0,0.22875,-1952.0,-0.03375
